"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Florida","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",19220
"2010","Florida","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",9645
"2010","Florida","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",3783
"2010","Florida","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",5792
"2010","Georgia","B24020_019","Male","Computer, engineering, and science occupations:",125064
"2010","Georgia","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",67907
"2010","Georgia","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",65047
"2010","Georgia","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",10139
"2010","Georgia","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",27741
"2010","Georgia","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",10519
"2010","Georgia","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",16648
"2010","Georgia","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",2860
"2010","Georgia","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",45819
"2010","Georgia","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",3767
"2010","Georgia","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",31093
"2010","Georgia","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",10959
"2010","Georgia","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",11338
"2010","Georgia","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",6878
"2010","Georgia","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",1653
"2010","Georgia","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",2807
"2010","Hawaii","B24020_019","Male","Computer, engineering, and science occupations:",16787
"2010","Hawaii","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",6857
"2010","Hawaii","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",6546
"2010","Hawaii","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",647
"2010","Hawaii","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",1152
"2010","Hawaii","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",1063
"2010","Hawaii","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",3684
"2010","Hawaii","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",311
"2010","Hawaii","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",8018
"2010","Hawaii","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",829
"2010","Hawaii","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",5145
"2010","Hawaii","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",2044
"2010","Hawaii","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",1912
"2010","Hawaii","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",1334
"2010","Hawaii","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",438
"2010","Hawaii","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",140
"2010","Idaho","B24020_019","Male","Computer, engineering, and science occupations:",23918
"2010","Idaho","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",8566
"2010","Idaho","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",8357
